ein,founding_year,ruling_date,name,city,state,zip,subsection,foundation_code,ntee_code,asset_amount,income_amount,revenue_amount,found_in_bmf
136160848,1963,196310,AMERICAN ASSOCIATION OF NEUROPAT,LITTLETON,CO,80128-9115,03,16,G96Z,4233357,3788145,1418287,Y
136168283,1957,195705,UNITED STATES SOCIETY ON DAMS,AURORA,CO,80012-3603,03,16,C022,1025107,1906363,1906363,Y
136203613,1967,196701,EYE AND CONTACT LENS ASSOCIATION INC,CENTENNIAL,CO,80111-4596,06,00,,180998,132535,132535,Y
140967445,1941,194102,PHI KAPPA TAU FRATERNITY,COLORADO SPGS,CO,80919-4442,07,00,,0,0,0,Y
141364657,1964,196404,UNDERWOOD CLUB INC,LONGMONT,CO,80504-1771,07,00,,1684743,419584,419330,Y
141429445,1998,199812,JOSHUA NATIONS INTERNATIONAL,ARVADA,CO,80006-5728,03,15,X20,1075539,1625598,1625598,Y
141656846,,,,,,,,,,,,,N
141734205,1949,194902,ALPHA PHI INTERNATIONAL FRATERNITY INC,DENVER,CO,80210-4207,07,00,,91237,111856,111856,Y
141834266,2002,200208,NATIONAL LEIOMYOSARCOMA FOUNDATION,DENVER,CO,80222-4000,03,15,H123,452766,181152,181152,Y
141843125,2002,200211,HERITAGE PARK PRESCHOOL,STEAMBOAT SPR,CO,80487-8418,03,16,B21,203431,660189,660189,Y
141845037,2003,200305,COOL SCIENCE COMPANY,COLORADO SPGS,CO,80949-0015,03,16,B90,92617,138969,138969,Y
141848057,,,,,,,,,,,,,N
141855056,2024,202409,COLORADO USSSA HALL OF FAME,COLORADO SPGS,CO,80921-3502,03,15,P20,6974,4800,4800,Y
141855234,2003,200303,FINANCIAL EDUCATION AND ECONOMIC TRANSFORMATION CENTER,DENVER,CO,80205-2538,03,15,B99,880,22600,22600,Y
141861822,2003,200308,A DAUGHTERS HEART,COLORADO SPGS,CO,80921-2389,03,16,N60,1,0,0,Y
141863399,2003,200304,BIG CHILI INC,EVERGREEN,CO,80437-3667,03,15,W12,9443,151190,69223,Y
141866405,2012,201203,STERLING SENIOR HOUSING,DENVER,CO,80202-4929,03,16,L22,1114776,223385,223385,Y
141867198,,,,,,,,,,,,,N
141872875,2006,200612,COLORADO MOTORCYCLE TRAIL RIDERS ASSOCIATION INC,COLORADO SPGS,CO,80937-8006,03,15,S20,11904,10121,10121,Y
141875193,,,,,,,,,,,,,N
141882428,2005,200503,TABERNACLE OF GRACE MINISTRIES,AURORA,CO,80012-6908,03,10,X20,141999,167681,167681,Y
141893049,,,,,,,,,,,,,N
141899876,2004,200405,WILD CONNECTIONS INC,COLORADO SPGS,CO,80909-1860,03,15,C34,67305,89185,89185,Y
141901877,2004,200409,NATURAL CAPITALISM SOLUTIONS INC,LONGMONT,CO,80503-9147,03,15,C30,2473471,2168873,2168873,Y
141909245,,,,,,,,,,,,,N
141928509,2016,201611,COMMUNITY PROJECT,ERIE,CO,80516-0092,03,15,A20,568109,6210,6210,Y
141931682,2006,200609,SOUTH PLATTE WATER RELATED ACTIVITIES PROGRAM INC,STERLING,CO,80751-3426,03,16,D31,6773574,1650715,1650715,Y
141953995,2008,200809,CHIRAG,WESTMINSTER,CO,80234-2629,03,15,Q33,0,0,0,Y
141964306,2007,200708,NESHAMA CENTER,ASPEN,CO,81612-8064,03,15,X20,69101,206166,206166,Y
141971287,2010,201001,BRADLEY PTO,DENVER,CO,80222-7339,03,16,B94,45420,90244,80701,Y
141971474,2008,200807,ROCKY MOUNTAIN CHEVRA KADDISHA,DENVER,CO,80224-1251,03,16,Y50,52735,79477,79477,Y
141985908,2024,202402,CHERRY CREEK DIAMOND CLUB INC,PARKER,CO,80134-9176,03,15,N31,76286,184756,184756,Y
142003693,2008,200809,ALL COLORADO BEER FESTIVAL,COLORADO SPGS,CO,80908-3804,03,15,T12,0,0,0,Y
146030108,1941,194102,PHI KAPPA TAU FRATERNITY,COLORADO SPGS,CO,80919-4442,07,00,,568161,141073,36429,Y
150229790,1968,196808,ALPHA PHI INTERNATIONAL FRATERNITY INC,DENVER,CO,80210-4207,07,00,,306081,905520,905520,Y
161104950,,,,,,,,,,,,,N
161342150,1949,194902,ALPHA PHI INTERNATIONAL FRATERNITY INC,DENVER,CO,80210-4207,07,00,,200399,610350,610350,Y
161472055,,,,,,,,,,,,,N
161533920,2014,201408,INTERNATIONAL GALAPAGOS TOUR OPERATORS ASSOCIATION INCORPORATED,FORT COLLINS,CO,80524-2625,03,15,Q30,56182,136363,136363,Y
161606865,,,,,,,,,,,,,N
161629528,2003,200301,RED ROCK CANYON FOUNDATION,COLORADO SPGS,CO,80934-6754,03,15,C30,51311,4147,4147,Y
161634526,,,,,,,,,,,,,N
161637021,,,,,,,,,,,,,N
161644613,,,,,,,,,,,,,N
161702404,,,,,,,,,,,,,N
161704863,,,,,,,,,,,,,N
161707339,,,,,,,,,,,,,N
161713928,,,,,,,,,,,,,N
161733856,2009,200903,SOCCER PARTNERS AMERICA,DENVER,CO,80231-5083,03,16,N64,3920608,9242337,9242337,Y
161770926,2009,200906,FOUR CORNERS GEM AND MINERAL CLUB,DURANGO,CO,81302-0955,03,16,U30,212100,72058,70134,Y
200011309,,,,,,,,,,,,,N
200042504,2019,201908,SOUTHERN COLORADO THEATRE COMPANY,PUEBLO,CO,81003-4220,03,16,A65,301590,784996,784996,Y
200055273,0,000000,SKYLINE HUNTING AND FISHING CLUB,LITTLETON,CO,80162-1489,07,00,,102723,109807,88779,Y
200067771,2006,200607,SPACE INFRASTRUCTURE FOUNDATION INC,COLORADO SPGS,CO,80903-1011,03,15,U30,129,4865,4865,Y
200076359,2003,200312,CROSSROADS MINISTRIES USA INC,COLORADO SPGS,CO,80918-1763,03,15,X20,142183,317214,273812,Y
200110208,2005,200502,CORINTHIANS ATHLETIC CLUB,COLORADO SPGS,CO,80907-9019,03,16,I20,5772,66432,66432,Y
200140926,2004,200405,ANGELS WITH PAWS,LAKEWOOD,CO,80215-2823,03,15,D20,933172,331991,331991,Y
200148690,2006,200606,LIGHTHOUSE NETWORK INC,PAGOSA SPGS,CO,81147-3098,03,15,X20,10650,132925,132925,Y
200152171,2004,200411,FRASER VALLEY RECREATION FOUNDATION,WINTER PARK,CO,80482-1331,03,15,N11,46819,187763,187763,Y
200165051,2004,200404,MORGAN ADAMS FOUNDATION,DENVER,CO,80222-5237,03,15,H12,1183514,3441305,3011334,Y
200166014,,,,,,,,,,,,,N
200190119,,,,,,,,,,,,,N
200198847,2004,200406,CITA INTERNATIONAL INC,GOLDEN,CO,80403-8349,03,15,Q30,229121,96199,96199,Y
200202166,2004,200403,BOULDER NORDIC JUNIOR RACING TEAM,BOULDER,CO,80306-1723,03,15,N68,114572,140270,111037,Y
200202714,,,,,,,,,,,,,N
200215122,2003,200312,ONE NATION WALKING TOGETHER,COLORADO SPGS,CO,80907-5325,03,15,P60,281511,262201,262201,Y
200216168,2008,200801,LION PROJECT,DENVER,CO,80205-2103,03,15,P20,34316,321577,209109,Y
200218848,2003,200310,POTTERS CONNECTION,LITTLETON,CO,80128-4572,03,15,P30,0,0,0,Y
200219280,,,,,,,,,,,,,N
200222465,,,,,,,,,,,,,N
200233428,2004,200409,SILVERTON FAMILY LEARNING CENTER INC,SILVERTON,CO,81433-0000,03,15,P33,217851,402688,402688,Y
200246205,,,,,,,,,,,,,N
200250543,1981,198106,REGISTRY OF INTERPRETERS FOR THE DEAF,MONUMENT,CO,80132-1881,03,15,,63683,75550,75550,Y
200273372,2006,200610,ART FROM ASHES INCORPORATED,DENVER,CO,80204-3908,03,16,O99,286456,392021,392021,Y
200274228,2006,200611,LINCOLN COUNTY ECONOMIC DEVELOPMENT CORPORATION,LIMON,CO,80828-0070,03,15,S30,283867,213134,178950,Y
200278984,2004,200403,HAPPINESS PROJECT,GREENWOOD VILLAGE,CO,80111-2307,03,15,C01,36974,54986,54986,Y
200279534,,,,,,,,,,,,,N
200284260,2004,200402,EL PASO COUNTY MEDICAL SOCIETY FOUNDATION,COLORADO SPGS,CO,80920-3957,03,15,E60,89523,25831,25831,Y
200287873,,,,,,,,,,,,,N
200293537,2005,200502,OUTDOOR LAB FOUNDATION,WHEAT RIDGE,CO,80215-6550,03,15,B90,1469943,873115,837584,Y
200300459,2006,200609,NORTHERN COLORADO XPLOSION,WINDSOR,CO,80550-0714,03,15,N63,92089,278202,263676,Y
200301596,2004,200404,SUNLIGHT PEAK LLC,CENTENNIAL,CO,80112-2301,03,17,A193,10604,5863,5863,Y
200301755,2019,201907,LONGMONT COMBINED HS HOCKEY CLUB,LONGMONT,CO,80504-2336,03,16,N60,0,0,0,Y
200303063,2004,200403,LINKS INTERNATIONAL INC,WOODLAND PARK,CO,80866-0209,03,15,B92,186798,155999,146647,Y
200308413,,,,,,,,,,,,,N
200326829,2003,200312,STREETS HOPE,DENVER,CO,80218-1981,03,15,P80,232084,916933,916933,Y
200332081,,,,,,,,,,,,,N
200342793,,,,,,,,,,,,,N
200346876,2005,200510,WOMEN IN HVACR INC,CENTENNIAL,CO,80112-3891,03,16,J03,922660,1173005,1149163,Y
200348200,,,,,,,,,,,,,N
200355713,2004,200412,WHISTLEPIG SPECIAL EQUESTRIANS INC,BROOMFIELD,CO,80023-3913,03,16,D99,0,0,0,Y
200362338,2004,200406,GALKIN EVANGELISTIC MINISTRIES,LITTLETON,CO,80128-7001,03,15,X21,321586,244717,239653,Y
200365020,2004,200408,GEORGETOWN TRUST FOR CONSERVATION AND PRESERVATION INC,GEORGETOWN,CO,80444-1037,03,15,A80,3471658,825284,609834,Y
200369318,2004,200402,ACCESS AFTERSCHOOL,GLENWOOD SPGS,CO,81602-3141,03,15,A20,733948,1154778,1153569,Y
